StartDate,EndDate,Finished,RecordedDate,DistributionChannel,UserLanguage,Q3,Q6a_First Click,Q6a_Last Click,Q6a_Page Submit,Q6a_Click Count,Q7a_First Click,Q7a_Last Click,Q7a_Page Submit,Q7a_Click Count,Q8a_First Click,Q8a_Last Click,Q8a_Page Submit,Q8a_Click Count,Q9,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q36,Q36_10_TEXT,Q37,Q37_6_TEXT,Q38,Q39,Q39_7_TEXT,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q46_4_TEXT,Q47_1
2024-02-15 09:37:27,2024-02-15 09:45:11,TRUE,2024-02-15 09:45:12,anonymous,EN,I confirm that I have read the information above and consent to participate,5.95,5.95,9.121,1,0,0,4.377,0,0,0,5.876,0,Environmental,I rarely perceive,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I always perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I never perceive,I rarely perceive,I often perceive,I rarely perceive,I never perceive,I sometimes perceive,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,I feel that our company just needs so much power that it's hard to loser the amount of emission and pollution. We try and do recyclable materials as much as possible and waste sustainability.  They also give money to help promote environmental help in other locations. ,"I think that it's hard to really have people want to be more social with other groups. My company has resources where others can meet and resources for people of different social class. I just think it's up to the individual to really want to change the social status around them. 
My company focuses a lot on safety and trying to make sure the products ship out well. They help underprivileged locations by coming to those areas and building locations to give them jobs.",I think it's hard to really know who to trust on the governmental pillar. I also don't having a diverse board is really important to them.  They don't really do anti-competitive practices that I know of.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Large Private Enterprise,,"1,000 or more employees",Employee not on management track,,5-10 years,"Some college, but no degree","$50,000-$74,999",25-34 years old,Yes,White or Caucasian,Female,,1.84
2024-02-15 09:41:55,2024-02-15 09:50:40,TRUE,2024-02-15 09:50:41,anonymous,EN,I confirm that I have read the information above and consent to participate,4.033,5.867,23.186,2,0,0,23.377,0,0,0,12.093,0,Environmental,I rarely perceive,I rarely perceive,I rarely perceive,I never perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,I often perceive,I rarely perceive,I rarely perceive,I rarely perceive,I often perceive,I often perceive,I rarely perceive,I often perceive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,All of the old heads residing within higher levels of the company.,"Lack of concern/interest from higher up’s in working on such things, or maybe lack of complaints.","Once again, I believe all of the high up’s in the company lack the motivation or interest in improving.",Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Large Private Enterprise,,250 to 499 employees,Individual Contributor,,3-5 years,"Some college, but no degree","$25,000-$49,999",18-24 years old,No,White or Caucasian,Male,,4.53
2024-02-15 09:38:39,2024-02-15 09:51:40,TRUE,2024-02-15 09:51:41,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,17.021,0,0,0,12.827,0,0,0,12.481,0,Environmental,I sometimes perceive,I always perceive,I always perceive,I often perceive,I sometimes perceive,I often perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I often perceive,I rarely perceive,I sometimes perceive,I often perceive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,I work for a global company with factories and warehouses all over the world.  I would say the biggest barrier is managing the different rules and regulations of various countries.,"Again, the company I work for is global so managing this aspect across various countries who have different rules and regulations.","I'm not sure, I really don't have much insight into this for my organization.","Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Marine Transportation — Companies providing goods or passenger maritime transportation.,Rail Transportation — Companies providing primarily goods and passenger rail transportation.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).",,Large Private Enterprise,,"1,000 or more employees",Individual Contributor,,3-5 years,"Some college, but no degree","$100,000-$149,999",35-44 years old,No,Black or African American,Female,,1.01
2024-02-15 09:47:53,2024-02-15 09:54:14,TRUE,2024-02-15 09:54:14,anonymous,EN,I confirm that I have read the information above and consent to participate,1.792,2.098,5.75,2,0,0,5.047,0,7.263,8.62,10.141,2,Environmental,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,The biggest barrier is their bottom line coming first.  As much as doing these things is good optics.  Shareholders want record profits to be the top priority to where there’s inevitably a conflict on that end.  ,This is more individual management to me.  The company has good core values.  But some managers are more reluctant to stick to what they should do. While some tend to go rogue and do whatever they want to where it comes at the expense of employees and quality work.  ,The biggest barrier is that my company and other companies for that matter have a record profits at all costs mindset.  Board diversity and avoiding anti-competitive practices aren’t the priorities they should be when there’s a chance they can come at the expense of the bottom line. ,Passenger Airlines — Companies providing primarily passenger air transportation.,,Publicly Traded Corporation,,"1,000 or more employees",Director or Manager,,10-20 years,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",35-44 years old,Yes,White or Caucasian,Male,,3.17
2024-02-15 09:49:17,2024-02-15 10:05:05,TRUE,2024-02-15 10:05:06,anonymous,EN,I confirm that I have read the information above and consent to participate,12.082,12.082,16.381,1,3.803,3.803,14.065,1,0,0,6.164,0,Environmental,I rarely perceive,I never perceive,I never perceive,I never perceive,I never perceive,I never perceive,I never perceive,I often perceive,I often perceive,I rarely perceive,I never perceive,I always perceive,I sometimes perceive,I never perceive,I always perceive,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,The biggest pillar is cost.  It cost a lot of money to go green.  My company's number 1 goal is to make money for everybody.  We have converted to a lot of cng tractors but that came with significant discounts to offset the cost.,Having management listen to their employees is key. They have to trust the info they receive and act on it.  Not all info is going to be the best but a lot will be.   ,You need outside management or outside companies continually monitor businesses.  This will be an honest assessment and the most fair,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).",,Publicly Traded Corporation,,"1,000 or more employees",Employee not on management track,,Over 20 years,High school diploma or GED,"$150,000 or more",35-44 years old,No,White or Caucasian,Male,,5.21
2024-02-15 09:53:43,2024-02-15 10:11:39,TRUE,2024-02-15 10:11:40,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,55.003,0,0,0,13.547,0,0,0,21.331,0,Environmental,I sometimes perceive,I rarely perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I often perceive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,"I think the organization i work for is all about making profit before anything else its focus on ESG behavior is very low. If the focus would shift a little from profit, then things would imorove ","Again, its biggest barrier is making profit take the first priority. ",Profit being the top priority for the organization prevents governmental pillar behaviours. ,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Small-Medium Private Enterprise,,100 to 249 employees,Other (please describe),supervisor ,3-5 years,Associates or technical degree,"$50,000-$74,999",45-54 years old,No,Black or African American,Female,,4
2024-02-15 10:10:16,2024-02-15 10:18:44,TRUE,2024-02-15 10:18:45,anonymous,EN,I confirm that I have read the information above and consent to participate,3.688,14.377,24.507,2,1.173,3.695,7.919,2,1.166,4.058,10.839,2,Environmental,I rarely perceive,I often perceive,I always perceive,I sometimes perceive,I often perceive,I often perceive,I rarely perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I always perceive,I often perceive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,We have deadlines that we need to focus on.,Upper management isn't concerned about the community,Nepotism hurts board diversity ,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Publicly Traded Corporation,,500 to 999 employees,Director or Manager,,5-10 years,Bachelor’s degree,"$50,000-$74,999",25-34 years old,Yes,White or Caucasian,Male,,3.51
2024-02-15 09:48:30,2024-02-15 10:20:28,TRUE,2024-02-15 10:20:29,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,14.279,0,0,0,9.373,0,0,0,5.264,0,Environmental,I sometimes perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I rarely perceive,I never perceive,I rarely perceive,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,"Transportation is surprisingly one of the most difficult areas to make environmental changes. Most large firms are not doing anything egregiously bad, the current tech just does not offer acceptable alternatives. The green initiatives that were done to a large extent were done 10+ years ago more as a cost cutting measure than as an environmental effort.  Unless you are a small time or financially struggling firm, most of what you state makes financial sense","Cost. Transportation is a bottom line and competitive business, there just is not excess money floating around for much community involvement. Satety and health make economic sense so it's a priority. Labor practices are not a concern in truth as a large percentage of the labor force is unionized ","History. The company has a nearly 100 year history and its practices are pretty well set, and as the saying goes it's hard to teach an old dog new tricks. We don't do anything blatantly bad in this area, but many of the actions made, to me at least, seem like window dressing. I've often heard ""we've always done thing this way"" when asking about the whys of a policy",Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Large Private Enterprise,,"1,000 or more employees",Individual Contributor,,5-10 years,Bachelor’s degree,"$75,000-$99,999",55-64 years old,No,White or Caucasian,Male,,4
2024-02-15 10:11:40,2024-02-15 10:24:58,TRUE,2024-02-15 10:24:59,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,9.752,0,12.305,12.305,12.211,1,0,0,14.947,0,Environmental,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I always perceive,I often perceive,I often perceive,I often perceive,I often perceive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,The biggest barrier in this instance is sensitization and provision to resources to address environmental pillar,"While social pillar is a good initiative, policies must be implemented to support it",A strong or firm policy and measures put in place to encourage its implementation,"Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Large Private Enterprise,,100 to 249 employees,Director or Manager,,Over 20 years,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",55-64 years old,No,Black or African American,Male,,2.29
2024-02-15 10:28:07,2024-02-15 10:36:25,TRUE,2024-02-15 10:36:26,anonymous,EN,I confirm that I have read the information above and consent to participate,1.561,1.561,30.682,1,2.146,10.532,11.27,3,1.265,6.911,9.906,3,Environmental,I rarely perceive,I never perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I never perceive,I never perceive,I sometimes perceive,I never perceive,I never perceive,I sometimes perceive,I often perceive,I sometimes perceive,I never perceive,I sometimes perceive,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"I think that the company values profits too much to divert too much time, energy, or capital towards the idea of pro-environmental behaviors. I think they do not feel they have a responsibility to do so.",I think the economy is such that they do not feel they have much to lose if they neglect this aspect. There will always be new employees if the old employees leave. They also know they live in a state that is very pro-business which will shield them from any negative social aspects.,The shareholders in this instance already make all of the profits and have total control of the company. Their will becomes reality already. No further action is really needed on their part as a result.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Small-Medium Private Enterprise,,100 to 249 employees,Director or Manager,,10-20 years,Bachelor’s degree,"$75,000-$99,999",35-44 years old,No,White or Caucasian,Male,,4.9
2024-02-15 10:29:15,2024-02-15 10:41:03,TRUE,2024-02-15 10:41:04,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,10.793,0,0,0,6.098,0,0,0,25.618,0,Environmental,I never perceive,I never perceive,I never perceive,I never perceive,I rarely perceive,I never perceive,I never perceive,I never perceive,I never perceive,I never perceive,I never perceive,I rarely perceive,I rarely perceive,I never perceive,I rarely perceive,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,The biggest barrier is the financial burden of doing so.  Increasing environmental behaviors typically comes with a financial cost.  This cost is the biggest obstacle.,The biggest barrier to increasing social pillar behaviors is the financial as well as labor burden of doing so.  It costs both time and money to implement these behaviors and these prevent the implementation of these.,The biggest barrier to increasing governmental pillar behaviors is the time it takes to do so.  It takes much time and planning to implement these changes.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Small-Medium Private Enterprise,,250 to 499 employees,Employee not on management track,,10-20 years,High school diploma or GED,"$75,000-$99,999",35-44 years old,Yes,White or Caucasian,Male,,6.35
2024-02-15 10:44:54,2024-02-15 10:49:32,TRUE,2024-02-15 10:49:33,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,8.259,0,0,0,6.798,0,0,0,5.492,0,Environmental,I often perceive,I rarely perceive,I often perceive,I rarely perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I often perceive,I rarely perceive,I sometimes perceive,I never perceive,I often perceive,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,"The company optimizes for profit and scale. Environmental initiatives are not prioritized as highly as other things that would improve profit. The company is also resource constrained, so they cannot afford to put people on projects that don't contribute to the main goals.",It's difficult to understand labor practices across all the contractors that we use. Most of them have their own policies and we don't often conduct audits to see if they are complying to our standards.,Lack of transparency across the company on governmental decisions prevents people for understanding what is right and wrong governance.,"Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Large Private Enterprise,,"1,000 or more employees",Director or Manager,,3-5 years,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",25-34 years old,No,Asian,Male,,1.99
2024-02-15 10:52:21,2024-02-15 10:57:58,TRUE,2024-02-15 10:57:59,anonymous,EN,I confirm that I have read the information above and consent to participate,0.792,1.332,6.927,2,0,0,4.999,0,0,0,5.26,0,Environmental,I often perceive,I often perceive,I often perceive,I always perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I often perceive,I never perceive,I sometimes perceive,I never perceive,I never perceive,I sometimes perceive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Corporate shareholder interference and corporate member interference.,Corporate interference and lack of their drive to do so.,Interference from higher-up members in regards to lack of funding and implementation.,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).",,Publicly Traded Corporation,,"1,000 or more employees",Employee not on management track,,3-5 years,"Some college, but no degree","$25,000-$49,999",35-44 years old,No,White or Caucasian,Female,,1
2024-02-15 10:52:37,2024-02-15 11:05:28,TRUE,2024-02-15 11:05:29,anonymous,EN,I confirm that I have read the information above and consent to participate,3.12,48.189,50.302,13,4.444,4.444,5.448,1,2.747,4.837,7.497,5,Environmental,I sometimes perceive,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I often perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I sometimes perceive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,To let others know just how dangerous future environmental impacts are. A percentage don't know. I still have fellow employees who don't believe in climate change. So going forward knowledge of facts must be shown.,"To show employees and owners what it might feel like in the minorities shoes, so they can relate.",To show governments it`s best to spend money now upfront to prevent nature`s dangers in the future. ,"Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Small-Medium Private Enterprise,,50 to 99 employees,Director or Manager,,3-5 years,Bachelor’s degree,"$25,000-$49,999",55-64 years old,No,White or Caucasian,Male,,1
2024-02-15 10:59:11,2024-02-15 11:06:39,TRUE,2024-02-15 11:06:40,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,7.906,0,0,0,81.727,0,0,0,5.775,0,Environmental,I rarely perceive,I rarely perceive,I never perceive,I never perceive,I never perceive,I never perceive,I rarely perceive,I never perceive,I rarely perceive,I never perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,I rarely perceive,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Cost. Doing that requires millions of dollars. Our company is a small business.,Once again cost and not all of those need to be addressed the same way compared to other parts of that pillar.,"Not related due to our structure, but in general it would be more transparency across the board.","Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Small-Medium Private Enterprise,,20 to 49 employees,Individual Contributor,,5-10 years,"Some college, but no degree","$75,000-$99,999",35-44 years old,No,"White or Caucasian,Black or African American",Male,,4.51
2024-02-15 11:12:06,2024-02-15 11:20:26,TRUE,2024-02-15 11:20:27,anonymous,EN,I confirm that I have read the information above and consent to participate,2.737,2.737,6.256,1,2.914,3.878,5.631,2,3.166,4.248,6.066,2,Environmental,I often perceive,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I always perceive,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I often perceive,I sometimes perceive,I often perceive,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Company is not doing enough to promote incentives to use more electric vehicles instead of fossil fuel vehicles. It can do much more.,I can invest much more in developing the software that ensures fair labor practices,"Not sure about this, I think they are doing what they can here.","Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Publicly Traded Corporation,,"1,000 or more employees",Individual Contributor,,Over 20 years,"Some college, but no degree","$25,000-$49,999",45-54 years old,No,White or Caucasian,Male,,2.12
2024-02-15 11:16:08,2024-02-15 11:27:25,TRUE,2024-02-15 11:27:26,anonymous,EN,I confirm that I have read the information above and consent to participate,1.813,16.747,18.421,2,0,0,10.655,0,0,0,6.154,0,Environmental,I often perceive,I often perceive,I sometimes perceive,I often perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I often perceive,I always perceive,I always perceive,I often perceive,I always perceive,I sometimes perceive,I often perceive,I sometimes perceive,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,In my opinion there isn't any barrier involving the environmental pillar behaviors my company has done a pretty straight forward job. We have electric vehicles now and they are working on numerous other things.,I believe they can improved when it comes to supporting the underprivileged communities. They price the rides a bit high making it harder for the less fortunate ,The company works really well for their investors and always look for input,"Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Large Private Enterprise,,"1,000 or more employees",Employee not on management track,,5-10 years,High school diploma or GED,"$25,000-$49,999",25-34 years old,No,Black or African American,Female,,6.48
2024-02-15 11:24:48,2024-02-15 11:36:20,TRUE,2024-02-15 11:36:20,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,85.844,0,0,0,7.511,0,0,0,4.784,0,Environmental,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I sometimes perceive,I sometimes perceive,I often perceive,I sometimes perceive,I often perceive,I sometimes perceive,I often perceive,I sometimes perceive,I often perceive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,The biggest barrier is holding shareholders and top management accountable by petitioning for policy changes. ,The biggest barrier is getting top management on board with making changes.,The biggest barrier is getting people to vote and petition to their local politicians.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Publicly Traded Corporation,,"1,000 or more employees",Individual Contributor,,3-5 years,"Some college, but no degree","$25,000-$49,999",25-34 years old,No,Black or African American,Male,,2.96
2024-02-15 10:53:40,2024-02-15 11:37:18,TRUE,2024-02-15 11:37:19,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,413.607,0,0,0,4.556,0,0,0,3.902,0,Environmental,I never perceive,I never perceive,I never perceive,I never perceive,I never perceive,I never perceive,I rarely perceive,I rarely perceive,I never perceive,I never perceive,I never perceive,I never perceive,I rarely perceive,I never perceive,I sometimes perceive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,"our owner is older and just sees profits really, he cares about us to a degree but he cares most about his bottom line. its a sort of thing=king that overtakes a man once they head a business or corporation ",the only way the owner gives back is through his church,the owner runs everything so there is no board to check him,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Large Private Enterprise,,100 to 249 employees,Director or Manager,,5-10 years,"Some college, but no degree","$25,000-$49,999",25-34 years old,No,White or Caucasian,Male,,1.9
2024-02-15 11:30:18,2024-02-15 11:37:39,TRUE,2024-02-15 11:37:39,anonymous,EN,I confirm that I have read the information above and consent to participate,5.593,16.214,17.784,7,0,0,7.7,0,0,0,5.8,0,Environmental,I rarely perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I often perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,I think the biggest barrier to my company to increasing environmental pillar behaviors is losing money and not enough knowledge.,I think the biggest barrier is not having enough knowledge about this.,I think the biggest barrier is getting everyone on the same page about these issues.,"Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Large Private Enterprise,,100 to 249 employees,Employee not on management track,,3-5 years,Bachelor’s degree,"$100,000-$149,999",35-44 years old,Yes,White or Caucasian,Female,,1
2024-02-15 11:01:25,2024-02-15 11:49:21,TRUE,2024-02-15 11:49:21,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,68.804,0,0,0,28.651,0,0,0,4.585,0,Environmental,I often perceive,I often perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,One big barrier to increasing environmental pillar behavior is improper ways of managing recyclable materials.,One big barrier to increasing social pillar behaviors is carelessness on the part of individuals,One big barrier to increasing governmental pillar behaviors is corruption,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).",,Small-Medium Private Enterprise,,100 to 249 employees,Director or Manager,,5-10 years,Bachelor’s degree,"$75,000-$99,999",45-54 years old,No,Black or African American,Male,,1.8
2024-02-15 11:50:53,2024-02-15 11:57:03,TRUE,2024-02-15 11:57:04,anonymous,EN,I confirm that I have read the information above and consent to participate,3.4,5.746,9.154,3,4.315,4.315,6.828,1,0,0,7.776,0,Environmental,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I never perceive,I often perceive,I often perceive,I often perceive,I rarely perceive,I often perceive,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Because much of our job takes big trucks it's hard to cut back on Environmental impact. We are doing everything we can running def systems in all of our trucks but there is still going to be a big carbon print by using diesel engines.,Other then some favorites at work i feel that we as a company are pretty fair in all social behaviors ,As employees we are treated very well. As a private owned business with no investors we are usually the ones who benefit from any changes made at work. I would like to see some more incentives and recognition for people who are doing their jobs above and beyond.,Other (please describe),Towing and transport,Small-Medium Private Enterprise,,100 to 249 employees,Director or Manager,,10-20 years,High school diploma or GED,"$150,000 or more",35-44 years old,No,White or Caucasian,Male,,3.32
2024-02-15 11:41:43,2024-02-15 12:02:12,TRUE,2024-02-15 12:02:13,anonymous,EN,I confirm that I have read the information above and consent to participate,125.306,125.991,129.317,2,0,0,11.615,0,5.561,5.561,5.58,1,Environmental,I rarely perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I often perceive,I always perceive,I rarely perceive,I sometimes perceive,I rarely perceive,I often perceive,I rarely perceive,I always perceive,I rarely perceive,I rarely perceive,I often perceive,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,It is expensive. I think my company prioritizes profits more than the environment. ,I think that the biggest barrier like environmental factors is company profits.  ,I don’t think there are any barriers for my organization. ,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Marine Transportation — Companies providing goods or passenger maritime transportation.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).",,Publicly Traded Corporation,,"1,000 or more employees",Employee not on management track,,3-5 years,Bachelor’s degree,"$25,000-$49,999",25-34 years old,No,White or Caucasian,Male,,7
2024-02-15 12:00:04,2024-02-15 12:05:01,TRUE,2024-02-15 12:05:02,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,9.753,0,0,0,4.788,0,0,0,4.456,0,Environmental,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,I often perceive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Allocation of budget. More money should be redirected towards environmental behaviors.,Allocation of budget. More money should be redirected for social pillars.,More oversight is needed to watch over the spending related to governmental pillars.,"Highways & Railroad Infrastructure — Owners and operators of roads, tunnels, and railtracks.",,Publicly Traded Corporation,,500 to 999 employees,Employee not on management track,,1-2 years,"Some college, but no degree","$100,000-$149,999",25-34 years old,Yes,White or Caucasian,Male,,1
2024-02-15 12:02:54,2024-02-15 12:10:12,TRUE,2024-02-15 12:10:13,anonymous,EN,I confirm that I have read the information above and consent to participate,1.875,5.811,6.675,4,2.134,2.134,6.367,1,6.266,6.266,8.68,1,Environmental,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I often perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,The biggest  barrier to increasing environmental pillar behaviors is getting  all companies on board with the solution ,To increase  it with the company I work for the managers would need to take it more seriously.,The law firm would probably not take it serious.,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Micro Private Enterprise,,100 to 249 employees,Director or Manager,,5-10 years,Associates or technical degree,"$25,000-$49,999",25-34 years old,No,Black or African American,Female,,3.02
2024-02-15 12:14:19,2024-02-15 12:20:33,TRUE,2024-02-15 12:20:34,anonymous,EN,I confirm that I have read the information above and consent to participate,3.498,5.279,7.326,2,0,0,5.101,0,1.23,1.23,6.143,1,Environmental,I always perceive,I always perceive,I often perceive,I always perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I rarely perceive,I always perceive,I often perceive,I rarely perceive,I often perceive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,The cost of replacing the infrastructure to be more environmental friendly,not having enough candidates to hire with diverse background,Lack of awareness. People don't really pay attention to it,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Highways & Railroad Infrastructure — Owners and operators of roads, tunnels, and railtracks.",,Small-Medium Private Enterprise,,250 to 499 employees,Individual Contributor,,3-5 years,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",25-34 years old,No,Asian,Male,,5.11
